SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Add-ons,tenureBins,InternetServices,gender_Female,gender_Male,PaymentMethod_Bank_transfer_(automatic),PaymentMethod_Credit_card_(automatic),PaymentMethod_Electronic_check,PaymentMethod_Mailed_check
0,1,1,1,1,1,1,0.5024875621890547,0.43846720707442893,3,2,1,1,0,1,0,0,0
0,1,1,0,0,0,1,0.2109452736318408,0.2327457166543847,2,2,1,0,1,0,1,0,0
0,1,1,1,1,2,1,0.8741293532338307,0.8691737288135595,5,2,2,0,1,0,1,0,0
0,1,0,1,1,0,1,0.7164179104477612,0.08563812638172441,2,0,2,1,0,0,0,1,0
0,0,0,1,0,1,1,0.014427860696517386,0.0478882645541636,0,0,0,0,1,0,0,0,1
0,1,0,1,0,2,0,0.010945273631840807,0.1519839259395726,0,2,0,1,0,1,0,0,0
0,0,0,1,1,0,1,0.8502487562189055,0.5798982129697864,4,2,2,0,1,1,0,0,0
0,0,0,1,1,0,0,0.31990049751243776,0.015803472733972,0,0,1,0,1,1,0,0,0
1,1,1,1,1,1,1,0.8920398009950249,0.8607970246868093,5,2,2,1,0,0,0,1,0
0,0,0,1,0,2,0,0.015920398009950265,0.1208548268238762,0,2,0,1,0,0,1,0,0
0,0,0,1,0,2,0,0.021393034825870627,0.10426837693441415,0,1,0,0,1,0,1,0,0
0,1,0,0,0,1,1,0.4233830845771144,0.49090364775239503,5,2,1,0,1,0,1,0,0
0,0,0,1,0,0,1,0.5144278606965175,0.008054301768607223,0,0,2,1,0,0,0,0,1
0,1,1,1,1,2,0,0.9636815920398009,0.8069443165070008,6,2,2,1,0,0,1,0,0
0,1,1,1,1,2,1,0.9597014925373134,0.9038607682387622,6,2,2,0,1,1,0,0,0
0,1,1,1,0,2,1,0.4194029850746268,0.45524364406779666,3,2,1,0,1,1,0,0,0
0,1,1,1,1,2,1,0.6039800995024875,0.6597906687546058,4,2,1,1,0,0,0,1,0
0,1,1,1,0,1,1,0.4522388059701493,0.2519919859985262,3,1,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0.06766169154228854,0.0218715456890199,0,0,1,1,0,1,0,0,0
0,1,1,1,0,1,1,0.025373134328358193,0.05407723839351511,0,0,0,0,1,0,1,0,0
1,0,0,1,1,0,1,0.5442786069651742,0.44097158253500374,0,2,2,0,1,1,0,0,0
0,1,1,1,1,1,1,0.8577114427860696,0.8588568533529847,4,2,2,0,1,0,1,0,0
0,0,0,1,0,0,1,0.8174129353233831,0.0823277450257922,4,0,2,1,0,0,0,1,0
0,0,0,1,1,0,0,0.8925373134328359,0.0361090641120118,4,0,2,0,1,0,0,0,1
0,0,0,1,0,0,0,0.021393034825870627,0.007271324613117171,0,0,0,1,0,0,0,0,1
0,1,1,1,0,1,1,0.408457711442786,0.3770207719233604,3,2,1,1,0,0,0,0,1
0,1,0,0,0,0,1,0.06666666666666665,0.01156042741341194,0,0,1,0,1,0,0,1,0
1,1,0,1,1,0,0,0.8318407960199005,0.4705116985998527,3,1,2,0,1,0,0,1,0
0,0,0,1,1,0,1,0.7278606965174129,0.02229182019159912,2,0,2,1,0,0,0,1,0
1,0,0,1,0,0,1,0.5114427860696518,0.008019758658806192,0,0,2,1,0,0,0,1,0
1,0,0,1,1,0,1,0.5592039800995025,0.033904062269712605,0,0,2,1,0,0,0,1,0
0,0,0,1,1,1,1,0.8597014925373135,0.7933170596904938,4,2,2,0,1,0,1,0,0
0,1,1,1,1,2,1,0.9676616915422885,0.9701029384672072,6,2,2,1,0,0,0,1,0
0,1,1,1,1,2,0,0.06965174129353235,0.06395081061164334,0,0,0,1,0,0,1,0,0
0,0,0,1,0,2,0,0.011940298507462671,0.04249378224023582,0,0,0,0,1,0,1,0,0
0,1,1,1,0,0,0,0.021890547263681587,0.041106300663227714,0,0,0,1,0,0,0,0,1
0,1,1,0,0,0,1,0.11641791044776117,0.028665023949889464,1,0,1,0,1,0,0,1,0
1,0,0,1,1,0,1,0.6786069651741293,0.27646577929255717,2,1,2,1,0,1,0,0,0
0,0,0,1,0,2,1,0.7034825870646766,0.3486148212969787,3,1,2,0,1,0,0,1,0
1,1,0,1,0,0,0,0.5159203980099502,0.0163101050110538,0,0,2,0,1,0,0,1,0
0,1,1,1,1,2,1,0.7024875621890546,0.7061417649226235,6,2,1,0,1,0,1,0,0
1,1,1,1,1,0,1,0.6129353233830845,0.21390820744288874,1,0,2,0,1,0,0,1,0
0,1,1,1,0,0,1,0.008955223880596996,0.05499263080324246,0,1,0,0,1,0,0,0,1
0,0,0,1,0,1,1,0.42885572139303485,0.41975635593220345,2,2,1,0,1,1,0,0,0
0,1,0,1,1,1,1,0.8572139303482588,0.6025354642593957,4,2,2,1,0,0,0,0,1
0,0,0,1,0,0,1,0.4731343283582089,0.19340111459100962,3,1,1,1,0,1,0,0,0
1,1,0,1,1,0,1,0.8567164179104477,0.7574785832719235,4,2,2,0,1,0,0,1,0
0,1,1,1,0,0,1,0.6144278606965173,0.027784174649963158,2,0,2,1,0,0,0,1,0
0,1,1,1,1,0,1,0.6661691542288557,0.24774318349299929,2,1,2,0,1,0,1,0,0
0,0,0,1,0,0,1,0.24527363184079598,0.004939664701547532,0,0,1,0,1,0,0,1,0
1,1,0,1,1,0,1,0.6945273631840796,0.5028728352984526,2,2,2,1,0,0,0,1,0
1,0,0,1,0,0,1,0.5144278606965175,0.008054301768607223,0,0,2,1,0,0,0,1,0
1,1,0,1,1,1,1,0.8567164179104477,0.7299477247605012,4,2,2,0,1,0,0,1,0
0,1,1,0,0,2,0,0.3049751243781094,0.40611182756079595,4,2,1,0,1,0,0,0,1
1,1,0,1,1,1,1,0.8756218905472636,0.8036799926308034,4,2,2,1,0,0,0,1,0
1,1,0,1,1,2,0,0.0681592039800995,0.14687730287398676,0,2,0,1,0,0,1,0,0
1,1,0,1,1,0,0,0.6527363184079601,0.6435151068533531,2,2,2,0,1,1,0,0,0
0,1,0,1,1,0,0,0.6034825870646766,0.15532309322033902,1,0,2,1,0,0,0,1,0
0,1,1,1,1,0,1,0.5636815920398011,0.12749286109064115,0,0,2,0,1,1,0,0,0
0,1,1,1,1,2,0,0.07114427860696515,0.017651529108327197,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,1,0.019402985074626844,0.0023259027266028004,0,0,0,1,0,0,0,0,1
0,1,0,1,1,2,0,0.8666666666666666,0.8337152266028004,4,2,2,1,0,1,0,0,0
0,0,0,0,0,2,0,0.17462686567164176,0.15163273765659546,1,1,1,0,1,0,1,0,0
0,1,1,1,0,1,1,0.5124378109452736,0.41019942888725136,4,2,1,1,0,0,1,0,0
0,1,0,0,0,1,0,0.3472636815920398,0.22233096904937366,4,1,1,0,1,0,1,0,0
0,1,0,1,0,0,0,0.27263681592039796,0.037243229550479,0,0,1,1,0,0,0,0,1
1,0,0,1,1,1,0,0.8940298507462686,0.83347918201916,4,2,2,1,0,1,0,0,0
0,1,1,1,0,0,0,0.673134328358209,0.25320675202652915,2,1,2,0,1,0,0,1,0
0,0,0,1,1,0,1,0.8288557213930349,0.03435312269712602,3,0,2,0,1,1,0,0,0
0,1,0,1,1,2,1,0.8990049751243779,0.8855586772291821,5,2,2,0,1,0,1,0,0
0,0,0,1,0,0,1,0.30199004975124377,0.005595983787767134,1,0,1,1,0,0,0,1,0
0,1,1,1,0,2,0,0.019900497512437804,0.10056650700073694,0,1,0,1,0,0,1,0,0
1,0,0,1,0,0,0,0.009452736318407956,0.00428334561532793,0,0,0,0,1,0,0,1,0
1,1,1,1,1,2,1,0.9621890547263682,0.9437638172439206,6,2,2,0,1,1,0,0,0
0,1,0,0,0,0,1,0.11542288557213931,0.0034370394252026537,1,0,1,1,0,0,0,1,0
0,0,0,1,0,0,1,0.6169154228855721,0.009240281871775977,1,0,2,1,0,0,0,1,0
0,1,1,1,1,1,0,0.05870646766169152,0.09214950257921888,0,1,0,1,0,0,1,0,0
1,1,0,0,0,0,0,0.20746268656716416,0.11183907516580693,2,0,1,0,1,1,0,0,0
0,1,1,1,0,2,0,0.5701492537313433,0.5420792649226236,5,2,1,1,0,0,1,0,0
0,1,0,1,1,1,1,0.9099502487562189,0.8456671425939574,5,2,2,1,0,0,1,0,0
0,1,0,1,1,1,1,0.8447761194029851,0.5290449981577009,4,1,2,1,0,0,0,1,0
0,1,1,1,1,2,1,0.7910447761194029,0.8050386882829773,4,2,2,0,1,0,1,0,0
1,0,0,1,1,0,1,0.9776119402985074,0.7349104182019162,6,2,2,0,1,0,0,1,0
0,0,0,1,0,0,1,0.5099502487562189,0.008002487103905675,0,0,2,1,0,0,0,1,0
0,0,0,1,0,0,1,0.5174129353233831,0.0264485077376566,0,0,2,1,0,0,0,1,0
0,1,0,1,1,1,0,0.5223880597014925,0.3364211035372145,3,1,1,0,1,0,1,0,0
0,1,1,1,1,2,1,0.68955223880597,0.7441910003684599,6,2,1,0,1,1,0,0,0
0,0,0,1,0,0,1,0.5134328358208955,0.008042787398673545,0,0,2,0,1,0,0,1,0
0,1,0,1,1,1,1,0.6154228855721392,0.5403924097273398,4,2,1,1,0,0,0,1,0
0,0,0,1,1,2,1,0.07014925373134329,0.16976211311717024,0,2,0,0,1,0,1,0,0
0,0,0,1,0,0,1,0.8034825870646766,0.5801112288135594,4,2,2,0,1,0,0,1,0
0,1,1,1,1,0,1,0.4895522388059702,0.5191426400147384,3,2,1,1,0,1,0,0,0
0,1,0,1,0,0,1,0.01641791044776117,0.005267824244657333,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0.17263681592039803,0.12350313190862197,2,1,1,0,1,0,0,0,1
0,1,1,0,0,0,0,0.3218905472636816,0.1903843496683862,3,1,1,0,1,0,1,0,0
0,0,0,1,1,0,1,0.31741293532338305,0.24630388725128963,0,1,1,1,0,0,0,0,1
1,0,0,0,0,0,0,0.27313432835820894,0.022798452468680917,2,0,1,1,0,0,0,1,0
0,0,0,1,0,0,0,0.020895522388059695,0.0023431742815033167,0,0,0,1,0,0,0,0,1
0,0,0,1,1,0,1,0.6577114427860695,0.22315424649963156,2,0,2,1,0,0,0,1,0
0,0,0,1,0,0,0,0.2656716417910448,0.049626934414148866,0,0,1,0,1,0,0,0,1
0,0,0,1,1,0,1,0.617910447761194,0.2989303150331614,1,1,2,0,1,1,0,0,0
0,1,1,1,0,1,1,0.6427860696517412,0.26722549742078117,2,1,2,1,0,1,0,0,0
0,0,0,1,1,2,1,0.7064676616915423,0.5356945467943994,6,2,1,0,1,0,0,0,1
0,0,0,1,0,0,0,0.01791044776119402,0.04127901621223287,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0.33283582089552244,0.34609893146647025,3,2,1,0,1,0,0,1,0
0,0,0,0,0,2,0,0.3641791044776119,0.10548890014738395,5,0,1,0,1,0,0,0,1
0,0,0,1,0,1,1,0.36169154228855727,0.07114153463522477,2,0,1,1,0,0,0,0,1
0,0,1,1,1,0,0,0.6761194029850747,0.10284635224760504,1,0,2,0,1,0,0,1,0
0,0,0,1,1,2,0,0.5089552238805971,0.48792142593957266,4,2,1,0,1,1,0,0,0
0,1,0,1,1,2,1,0.6273631840796019,0.5906065770081063,5,2,1,1,0,0,0,0,1
0,0,0,1,0,0,0,0.01243781094527363,0.017311855195283717,0,0,0,1,0,1,0,0,0
1,1,0,1,0,0,1,0.31990049751243776,0.1758820007369197,1,1,1,0,1,1,0,0,0
0,0,0,1,1,1,1,0.9253731343283581,0.6812419399410465,5,2,2,1,0,0,1,0,0
0,0,0,1,0,0,1,0.5601990049751243,0.09496476602800297,1,0,2,0,1,0,0,1,0
0,0,0,1,0,0,0,0.3621890547263681,0.021773673544583642,1,0,1,0,1,0,0,0,1
1,1,0,1,1,0,1,0.8432835820895522,0.508278831982314,4,1,2,0,1,0,0,1,0
0,1,0,0,0,1,1,0.23980099502487562,0.19763840272660282,3,1,1,0,1,0,0,1,0
0,0,0,1,1,0,1,0.8268656716417909,0.38399272291820197,3,1,2,1,0,0,0,1,0
0,1,1,1,0,1,0,0.013432835820895522,0.08786615696389095,0,1,0,1,0,0,1,0,0
0,0,0,1,1,0,0,0.7059701492537314,0.6333594325718498,2,2,2,1,0,0,0,0,1
0,1,1,1,0,0,1,0.4343283582089552,0.3366859340456891,3,1,1,0,1,0,0,0,1
0,0,1,1,0,2,0,0.01741293532338306,0.14394113854089904,0,2,0,0,1,1,0,0,0
0,1,0,1,0,1,0,0.013432835820895522,0.021813973839351512,0,0,0,0,1,1,0,0,0
1,0,0,1,1,0,1,0.7776119402985074,0.18206521739130438,2,0,2,1,0,0,0,1,0
1,0,0,0,0,0,1,0.12089552238805967,0.009056051952837143,1,0,1,1,0,0,0,1,0
1,1,0,1,1,0,0,0.753731343283582,0.6262608235077377,3,2,2,1,0,0,1,0,0
0,1,0,1,0,0,1,0.6621890547263681,0.009764185703758291,2,0,2,0,1,0,0,1,0
0,0,0,1,0,0,0,0.012935323383084563,0.002251059322033899,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,1,0.7761194029850746,0.05900538872512898,3,0,2,1,0,0,0,1,0
0,0,0,1,1,2,1,0.07412935323383085,0.13681374355195286,0,1,0,1,0,0,1,0,0
0,0,0,1,0,2,1,0.41542288557213924,0.29344947494473106,2,1,1,0,1,0,0,1,0
0,0,0,1,1,0,1,0.41691542288557215,0.0069258935151068545,1,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,0.7134328358208956,0.18980863117170232,2,0,2,0,1,0,0,1,0
0,1,1,1,0,1,0,0.01243781094527363,0.09190770081061166,0,1,0,0,1,1,0,0,0
1,1,0,1,0,0,1,0.46467661691542295,0.15426952837140753,3,0,1,0,1,1,0,0,0
0,0,0,1,0,0,1,0.6054726368159203,0.028382921886514374,2,0,2,1,0,0,0,1,0
0,0,0,1,1,0,0,0.426865671641791,0.007041037214443626,2,0,1,0,1,0,0,1,0
0,0,0,1,1,1,1,0.7810945273631841,0.7053012159174651,3,2,2,0,1,0,0,1,0
0,1,1,1,1,0,1,0.072636815920398,0.058423913043478264,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,1,0.7582089552238807,0.17400515843773032,3,0,2,1,0,0,0,1,0
0,0,0,1,0,0,0,0.021393034825870627,0.002348931466470155,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,1,0.024378109452736302,0.01584377302873987,0,0,0,1,0,0,0,0,1
1,1,0,1,0,0,1,0.7452736318407961,0.25689135040530586,3,0,2,0,1,0,0,1,0
0,0,0,1,1,1,0,0.4054726368159204,0.19049949336772296,2,1,1,1,0,0,0,0,1
0,1,1,1,1,2,0,0.062189054726368154,0.08773374170965366,0,1,0,1,0,0,0,1,0
0,1,0,1,0,1,1,0.7800995024875622,0.18287698047162862,3,0,2,0,1,1,0,0,0
0,1,1,1,1,0,1,0.6736318407960199,0.043904292557111285,1,0,2,1,0,0,0,1,0
0,1,0,1,1,0,1,0.8582089552238806,0.6818061440677967,4,2,2,1,0,0,1,0,0
1,1,0,1,1,1,1,0.5233830845771144,0.5456487196020635,3,2,1,1,0,1,0,0,0
0,0,0,1,0,0,1,0.6124378109452736,0.11208663411938101,2,0,2,0,1,0,0,1,0
0,1,0,1,1,2,1,0.9208955223880596,0.7646347641857039,5,2,2,1,0,0,1,0,0
0,1,1,1,0,1,0,0.015920398009950265,0.0022856024318349305,0,0,0,0,1,0,1,0,0
0,1,1,1,0,0,0,0.7144278606965173,0.4763725128960944,3,1,2,0,1,0,0,1,0
0,0,0,1,1,0,1,0.40497512437810945,0.06927044952100223,1,0,1,1,0,0,0,0,1
0,0,0,1,1,2,1,0.5338308457711444,0.5157516580692705,4,2,1,0,1,1,0,0,0
1,1,0,1,1,0,1,0.8557213930348259,0.2802482498157701,4,0,2,0,1,0,0,1,0
0,0,0,1,1,0,1,0.9278606965174129,0.5659485537951364,5,1,2,0,1,0,0,1,0
0,1,1,1,0,0,1,0.5049751243781094,0.05836634119380988,0,0,2,1,0,0,0,1,0
0,1,1,1,0,2,0,0.6671641791044776,0.7057387619749448,6,2,1,1,0,1,0,0,0
0,0,0,1,0,1,1,0.7149253731343282,0.5238405029476788,4,2,2,0,1,0,1,0,0
0,1,1,1,0,1,0,0.42139303482587065,0.3796287767133383,2,2,1,1,0,0,1,0,0
1,1,0,1,1,2,1,0.9104477611940299,0.9298256724392043,5,2,2,1,0,0,0,0,1
0,0,0,1,1,2,0,0.06467661691542287,0.07969095431098011,0,1,0,1,0,0,1,0,0
0,1,0,1,1,1,0,0.6069651741293532,0.33527542372881364,4,1,1,0,1,0,0,0,1
0,0,0,1,1,0,1,0.3189054726368159,0.10516074060427415,0,0,1,1,0,0,0,1,0
0,1,1,1,1,0,1,0.8019900497512437,0.3557479734708917,3,1,2,1,0,0,0,1,0
0,1,1,0,0,2,0,0.35273631840796016,0.059989867354458375,5,0,1,0,1,0,1,0,0
0,0,0,1,0,0,0,0.01741293532338306,0.0023028739867354464,0,0,0,0,1,0,0,0,1
0,0,0,1,1,2,1,0.9990049751243782,0.9761422254974209,6,2,2,1,0,0,0,1,0
0,0,0,1,0,0,1,0.5587064676616916,0.03450856669123066,4,0,1,0,1,0,0,1,0
0,1,0,1,1,2,1,0.7547263681592039,0.6492147199705234,3,2,2,0,1,0,0,1,0
0,1,0,1,1,2,1,0.7507462686567165,0.7582615604274136,2,2,2,1,0,1,0,0,0
0,0,0,1,0,0,1,0.708955223880597,0.09938052689756818,2,0,2,0,1,0,0,1,0
0,0,0,1,0,0,1,0.32089552238805974,0.005814756816507002,1,0,1,0,1,0,0,1,0
0,0,0,1,0,0,0,0.5124378109452736,0.01664402173913044,0,0,2,1,0,1,0,0,0
1,1,0,1,1,0,1,0.8233830845771145,0.5388782700810613,3,1,2,0,1,0,0,1,0
1,0,0,1,0,0,0,0.5223880597014925,0.01783000184229919,0,0,2,1,0,0,0,1,0
0,1,1,1,0,0,0,0.5776119402985074,0.2768227247605012,5,1,1,1,0,1,0,0,0
0,1,1,0,0,1,1,0.17910447761194026,0.13253615512159175,2,1,1,0,1,0,0,0,1
1,0,0,1,0,0,1,0.8313432835820894,0.20178357590272664,4,0,2,0,1,0,0,1,0
0,1,0,1,1,2,0,0.5681592039800994,0.5445490972733973,4,2,1,0,1,0,1,0,0
0,1,0,1,1,2,0,0.9338308457711443,0.9172289517317613,6,2,2,1,0,0,1,0,0
0,0,0,1,0,0,0,0.6134328358208956,0.009199981577008107,1,0,2,0,1,0,0,1,0
0,1,0,1,1,1,1,0.46368159203980097,0.3348609064112012,2,1,1,1,0,1,0,0,0
0,0,0,1,0,1,1,0.7577114427860697,0.303760593220339,3,1,2,1,0,1,0,0,0
